GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
SWAY	β ə - s i lˠː a - -	β ə s i lˠː a	ʃ ɑ̃ s l e	ʃ ɑ̃ s l e	b a r k o lː a r e	b a r k o lː a r e	w a - k ɪ lː aː r ɛ	w a k ɪ lː aː r ɛ	- o ʃ s i l a r -	o ʃ s i l a r	s e + k l ə t i n a	s e + k l ə t i n a	b a - θ i l a ɾ -	b a θ i l a ɾ
SWEEP	ə s k u m β ɾ a	ə s k u m β ɾ a	b a l ɛ j e	b a l ɛ j e	s p a t ts a r e	s p a t ts a r e	w ɛ rː ɛ r ɛ	w ɛ rː ɛ r ɛ	v ɐ ʀ e r -	v ɐ ʀ e r	m ə t u r a	m ə t u r a	p a s a ɾ + l a + e s k o β a	p a s a ɾ + l a + e s k o β a
SWEET	d̪ ɔ lˠ - - s	d̪ ɔ lˠ s	d u	d u	d o l tʃ e -	d o l tʃ e	d ʊ lˠ k ɪ s	d ʊ lˠ k ɪ s	d o s ə	d o s ə	d u l tʃ e -	d u l tʃ e	d u l θ e -	d u l θ e
SWIM	n ə - ð - - a	n ə ð a	n a - ʒ - - e	n a ʒ e	n u o t a r e	n u o t a r e	n a - t aː r ɛ	n a t aː r ɛ	n ɐ - ð a r -	n ɐ ð a r	ɨ n o t a	ɨ n o t a	n a - ð a ɾ -	n a ð a ɾ
SWINDLE	ə s t ə f a	ə s t ə f a	f ʁ o - d - - e	f ʁ o d e	t r u fː a r e	t r u fː a r e	f r a ʊ d aː r ɛ	f r a ʊ d aː r ɛ	ẽ - g ɐ n a r	ẽ g ɐ n a r	ɨ n ʃ e l a	ɨ n ʃ e l a	e ŋ g a ɲ a ɾ	e ŋ g a ɲ a ɾ
SWING_(MOVEMENT)	u z s i lˠː - - a	u z s i lˠː a	ɔ s - i l - - e	ɔ s i l e	o ʃː - i lː a r e	o ʃː i lː a r e	w ɪ b r aː r ɛ	w ɪ b r aː r ɛ	v i β r a r -	v i β r a r	f l u t u r a	f l u t u r a	o s θ i l a ɾ -	o s θ i l a ɾ
SWING_(SOMETHING)	ə ʒ i t̪ - - a	ə ʒ i t̪ a	a ʒ i t - - e	a ʒ i t e	z v e n t o l a r e	z v e n t o l a r e	- w ɛ n t ɪ lˠ aː r ɛ	w ɛ n t ɪ lˠ aː r ɛ	ɐ ʒ i t a r -	ɐ ʒ i t a r	a dʒ i t - - a	a dʒ i t a	m e n e a ɾ	m e n e a ɾ
TABLE	t̪ a w - lˠ ə	t̪ a w lˠ ə	t a b - l ə	t a b l ə	t a v o l o	t a v o l o	m ẽː s a	m ẽː s a	m e z ɐ	m e z ɐ	m a s ə	m a s ə	m e s a	m e s a
TAIL	k - w - a	k w a	k ø	k ø	k o - d a	k o d a	k a ʊ d a	k a ʊ d a	k a w ð a	k a w ð a	k o a d ə	k o a d ə	k o - l a	k o l a
TAKE	p ɾ ɛ n ð - ɾ ə	p ɾ ɛ n ð ɾ ə	p ʁ ɑ̃ː - d - ʁ ə	p ʁ ɑ̃ː d ʁ ə	p r ɛ n d e r e	p r ɛ n d e r e	s uː m ɛ r ɛ	s uː m ɛ r ɛ	t u m a r -	t u m a r	l w a	l w a	t o m a ɾ -	t o m a ɾ
TALK	p ə ɾ lˠ - - a	p ə ɾ lˠ a	p a ʁ l - - e	p a ʁ l e	p a r l a r e	p a r l a r e	lˠ ɔ kʷ iː	lˠ ɔ kʷ iː	- f ɐ l a r	f ɐ l a r	d i s k u t a	d i s k u t a	k o m b e ɾ s a ɾ - - - -	k o m b e ɾ s a ɾ
TASTE	s ə β ɔ - -	s ə β ɔ	s a v œː ʁ -	s a v œː ʁ	s a p o r e	s a p o r e	gʷ - s t ʊ s	gʷ s t ʊ s	g o ʃ t u -	g o ʃ t u	g u s t - -	g u s t	g u s t o -	g u s t o
TASTE_(SOMETHING)	p ɾ u β a -	p ɾ u β a	g u - t e	g u t e	a sː a d dʒ a r e	a sː a d dʒ a r e	- - gʷ - s t aː r ɛ	gʷ s t aː r ɛ	ʃ a β o r j a r	ʃ a β o r j a r	g u s t a	g u s t a	d e ɣ u s t a ɾ -	d e ɣ u s t a ɾ
TASTY	d̪ ə lˠ i s i - o s -	d̪ ə lˠ i s i o s	a p e t i s ɑ̃	a p e t i s ɑ̃	s k w i z i t o	s k w i z i t o	d eː lˠ ɪ k aː t ʊ s -	d eː lˠ ɪ k aː t ʊ s	d ə l i s - j o z u	d ə l i s j o z u	g u s t o s	g u s t o s	s a β ɾ o s o	s a β ɾ o s o
TEA	t̪ ɛ	t̪ ɛ	t e	t e	t ɛ	t ɛ	t h ɛ a	t h ɛ a	ʃ a	ʃ a	tʃ e a j	tʃ e a j	t e	t e
TEACH	ə n z ə ɲ a - -	ə n z ə ɲ a	a p ʁ ɑ̃ː d ʁ ə	a p ʁ ɑ̃ː d ʁ ə	i n z e ɲː a r e	i n z e ɲː a r e	d ɔ k eː r ɛ	d ɔ k eː r ɛ	ẽ - s i n a r -	ẽ s i n a r	ɨ n v ə ts a	ɨ n v ə ts a	i n s t ɾ w i ɾ	i n s t ɾ w i ɾ
TEACHER	m ɛ s t ɾ ə	m ɛ s t ɾ ə	ɛ̃ s t i t y t œː ʁ	ɛ̃ s t i t y t œː ʁ	p r o f e sː o r e	p r o f e sː o r e	m a g ɪ s t ɛ r	m a g ɪ s t ɛ r	p r u f ə s o r -	p r u f ə s o r	ɨ n v ə ts ə t o r	ɨ n v ə ts ə t o r	p ɾ o f e s o ɾ -	p ɾ o f e s o ɾ
TEAR_(OF_EYE)	ʎ a ɣ ɾ i m ə	ʎ a ɣ ɾ i m ə	l a ʁ m	l a ʁ m	l a k r i m a	l a k r i m a	lˠ a k r ɪ m a	lˠ a k r ɪ m a	l a ɣ r i m ɐ	l a ɣ r i m ɐ	l a k r i m ə	l a k r i m ə	l a ɣ ɾ i m a	l a ɣ ɾ i m a
TEAR_(SHRED)	ə s t ɾ i p a	ə s t ɾ i p a	d e ʃ i ʁ e	d e ʃ i ʁ e	s t r a t tʃ a r e	s t r a t tʃ a r e	d ɪ s k ɪ n d ɛ r ɛ	d ɪ s k ɪ n d ɛ r ɛ	r a ʃ ɣ a r	r a ʃ ɣ a r	s f ɨ ʃ j a	s f ɨ ʃ j a	d e s p e ð a θ a ɾ	d e s p e ð a θ a ɾ
TELL	ə k s p lˠ i k a	ə k s p lˠ i k a	ʁ a k ɔ̃ - t - - e	ʁ a k ɔ̃ t e	r a kː o n t a r e	r a kː o n t a r e	n aː rː aː r ɛ	n aː rː aː r ɛ	- - k õ - t a r -	k õ t a r	p o v e s tʲ	p o v e s tʲ	- - k o n t a ɾ -	k o n t a ɾ
TEN	d̪ - ɛ w	d̪ ɛ w	d - i s	d i s	d i e tʃ i	d i e tʃ i	d ɛ k ɛ̃	d ɛ k ɛ̃	d - ɛ ʃ	d ɛ ʃ	z e tʃ e	z e tʃ e	d j e θ	d j e θ
TENDON	t̪ ə n ð o - -	t̪ ə n ð o	t ɑ̃ - d ɔ̃ - -	t ɑ̃ d ɔ̃	t ɛ n d i n e	t ɛ n d i n e	n ɛ r w ʊ s	n ɛ r w ʊ s	t ẽ - d ã w -	t ẽ d ã w	t e n d o n -	t e n d o n	t e n d o n -	t e n d o n
THAT	ə ʃ ɔ	ə ʃ ɔ	s ə l a	s ə l a	k w e lː o	k w e lː o	ɪ d	ɪ d	ɐ k i l u	ɐ k i l u	a s t a	a s t a	e s t o	e s t o
THAW_(DEW)	f u n ð ɾ ə s	f u n ð ɾ ə s	d e ʒ l e	d e ʒ l e	ʃ ɔ ʎː i e r z i	ʃ ɔ ʎː i e r z i	r oː r aː r ɛ	r oː r aː r ɛ	d e ʃ k õ g e l a r	d e ʃ k õ g e l a r	s e + d e z g e ts a	s e + d e z g e ts a	d e s e l a ɾ s e	d e s e l a ɾ s e
THEN	d̪ ə s p ɾ e s	d̪ ə s p ɾ e s	ɑ̃ s ɥ i t	ɑ̃ s ɥ i t	a lː o r a	a lː o r a	d ɛ ɪ n d ɛ	d ɛ ɪ n d ɛ	d ə p o j ʃ	d ə p o j ʃ	a p o j	a p o j	e n t o n θ e s	e n t o n θ e s
THERE	ə ʎ i	ə ʎ i	l a b a	l a b a	- l i	l i	ɪ b ɪ	ɪ b ɪ	ɐ l i	ɐ l i	a k o l o	a k o l o	a ʝ i	a ʝ i
THEY	ɛ ʎ ə s	ɛ ʎ ə s	ɛ l - -	ɛ l	l o r o	l o r o	ɪ lː iː	ɪ lː iː	e l ə ʃ	e l ə ʃ	d ɨ n ʃ i j	d ɨ n ʃ i j	e ʝ o s	e ʝ o s
THICK	g ɾ - u ʃ u t̪	g ɾ u ʃ u t̪	e p ɛ	e p ɛ	s p e sː o	s p e sː o	k r - a sː ʊ s	k r a sː ʊ s	g r - o s u -	g r o s u	g r - o s - -	g r o s	g ɾ w e s o -	g ɾ w e s o
THIGH	k u ʃ ə	k u ʃ ə	k ɥ i s	k ɥ i s	f ɛ m o r e	f ɛ m o r e	f ɛ m ʊ r -	f ɛ m ʊ r	k o ʃ ɐ	k o ʃ ɐ	k o a p s ə	k o a p s ə	m u z l o	m u z l o
THING	k ɔ - z ə	k ɔ z ə	ʃ oː z	ʃ oː z	k o - z a	k o z a	r eː s	r eː s	k o j z ɐ	k o j z ɐ	k e s t j e	k e s t j e	k o - s a	k o s a
THINK_(REFLECT)	p ə n z a - -	p ə n z a	p ɑ̃ - s e - -	p ɑ̃ s e	p e n z a r e	p e n z a r e	k oː g ɪ t aː r ɛ	k oː g ɪ t aː r ɛ	p ẽ - s a r -	p ẽ s a r	g ɨ n dʲ	g ɨ n dʲ	p e n s a ɾ -	p e n s a ɾ
THIN_(OF_SHAPE_OF_OBJECT)	p ɾ i m	p ɾ i m	m ɛ̃ː s	m ɛ̃ː s	s o tː i l e	s o tː i l e	t ɛ n ʊ ɪ s	t ɛ n ʊ ɪ s	d ɛ lˠ ɣ a ð u	d ɛ lˠ ɣ a ð u	s u b ts i r e	s u b ts i r e	d e l ɣ a ð o	d e l ɣ a ð o
THIN_(SLIM)	ə s β ɛ lˠ - -	ə s β ɛ lˠ	- s v ɛ l t -	s v ɛ l t	s l a n tʃ a t o	s l a n tʃ a t o	p r oː k eː r ʊ s	p r oː k eː r ʊ s	i ʒ β ɛ lˠ t u	i ʒ β ɛ lˠ t u	- z v e l t -	z v e l t	e z β e l t o	e z β e l t o
THIRD	t̪ ə ɾ s - - - ɛ -	t̪ ə ɾ s ɛ	t ʁ w ɑ z j ɛ m	t ʁ w ɑ z j ɛ m	t e r ts - - - o -	t e r ts o	t ɛ r t ɪ - - ʊ s	t ɛ r t ɪ ʊ s	t ə r s e j r u -	t ə r s e j r u	t r e j l e a	t r e j l e a	t e ɾ θ e - ɾ o -	t e ɾ θ e ɾ o
THIRTY	t̪ ɾ ɛ - - n̪ t̪ ə	t̪ ɾ ɛ n̪ t̪ ə	t ʁ ɑ̃ː - - - t -	t ʁ ɑ̃ː t	t r e - - n t a	t r e n t a	t r iː g ɪ n t aː	t r iː g ɪ n t aː	t r ĩ - - - t ɐ	t r ĩ t ɐ	t r e j z e tʃʲ	t r e j z e tʃʲ	t ɾ e - i n t a	t ɾ e i n t a
THIS	ə k ɛ s	ə k ɛ s	s ə s i	s ə s i	k w e s t o	k w e s t o	h ɔ k	h ɔ k	- - i ʃ t u	i ʃ t u	a tʃ e s t a	a tʃ e s t a	- - e s t o	e s t o
THITHER_(THERE_TO)	i	i	p aː ʁ - l a	p aː ʁ l a	l a	l a	ɛ oː	ɛ oː	p a r a l a	p a r a l a	d i n k o l o	d i n k o l o	a θ j a + a ʝ i	a θ j a + a ʝ i
THOU	t̪ u	t̪ u	t w a	t w a	t u	t u	t uː	t uː	t u	t u	t u	t u	t u	t u
THOUGHT	p ə n z ə m - ɛ n̪ - -	p ə n z ə m ɛ n̪	p ɑ̃ s e	p ɑ̃ s e	p e n z i e r o	p e n z i e r o	s ɛ n t ɛ n t ɪ a	s ɛ n t ɛ n t ɪ a	p ẽ - s ɐ m - ẽ - t u	p ẽ s ɐ m ẽ t u	k u dʒ e t	k u dʒ e t	p e n s a m j e n t o	p e n s a m j e n t o
THOUSAND	m i lˠ -	m i lˠ	m i l -	m i l	m i lː e	m i lː e	m iː lː ɛ	m iː lː ɛ	m i lˠ -	m i lˠ	m j e	m j e	m i l -	m i l
THREAD	f i lˠ -	f i lˠ	f i l -	f i l	f i l o	f i l o	f iː lˠ ʊ̃	f iː lˠ ʊ̃	f i w -	f i w	a ts ə	a ts ə	j l o	j l o
THREE	t̪ ɾ - ɛ s	t̪ ɾ ɛ s	t ʁ w ɑ -	t ʁ w ɑ	t r - e -	t r e	t r - eː s	t r eː s	t r - e ʃ	t r e ʃ	t r - e j	t r e j	t ɾ - e s	t ɾ e s
THROAT	g ɔ ɾ ʒ ə	g ɔ ɾ ʒ ə	g ɔ ʁ ʒ -	g ɔ ʁ ʒ	g o l a	g o l a	ɪ ʊ gʷ lˠ ʊ m s	ɪ ʊ gʷ lˠ ʊ m s	g ɐ r ɣ ɐ̃ - t ɐ	g ɐ r ɣ ɐ̃ t ɐ	b e r e g a t ə	b e r e g a t ə	g a ɾ ɣ a n t a	g a ɾ ɣ a n t a
THROUGH	p ɛ -	p ɛ	a t ʁ a v ɛ ʁ - -	a t ʁ a v ɛ ʁ	a tː r a v e r z o	a tː r a v e r z o	p ɛ r	p ɛ r	- - ɐ t r ɐ v ɛ ʃ + d ə	ɐ t r ɐ v ɛ ʃ + d ə	p r i n	p r i n	a + - t ɾ a β e s + ð e	a + t ɾ a β e s + ð e
THROW	ʎ ə n s a - -	ʎ ə n s a	l ɑ̃ - s e - -	l ɑ̃ s e	l a n tʃ a r e	l a n tʃ a r e	ɪ a k ɛ r ɛ	ɪ a k ɛ r ɛ	l ɐ̃ - s a r -	l ɐ̃ s a r	a r u n k a	a r u n k a	l a n θ a ɾ -	l a n θ a ɾ
THUNDER	t̪ ɾ - - - ɔ	t̪ ɾ ɔ	t - ɔ - n ɛː - - ʁ - -	t ɔ n ɛː ʁ	t - u o n o - - - - -	t u o n o	t - ɔ - n ɪ t - r ʊ s	t ɔ n ɪ t r ʊ s	t r u v ɐ̃ w	t r u v ɐ̃ w	t - u - n e t - - - -	t u n e t	t ɾ w e n o	t ɾ w e n o
THUNDER_(VERB)	t̪ ɾ u - n - - a - - -	t̪ ɾ u n a	t - ɔ - n e - - - - -	t ɔ n e	t - o - n a - - r e -	t o n a r e	t - ɔ - n aː - - r ɛ -	t ɔ n aː r ɛ	t r o - v e ʒ a r - -	t r o v e ʒ a r	t - u - n a - - - - -	t u n a	t ɾ o - n - - a ɾ - -	t ɾ o n a ɾ
THURSDAY	d̪ i ʒ ɔ w s	d̪ i ʒ ɔ w s	ʒ ø d i	ʒ ø d i	dʒ o v e d i	dʒ o v e d i	d ɪ eː s + ɪ ɔ w ɪ s	d ɪ eː s + ɪ ɔ w ɪ s	k ĩ t ɐ f e j r ɐ	k ĩ t ɐ f e j r ɐ	ʒ o j	ʒ o j	x w e β e s	x w e β e s
TIE	ʎ i ɣ a - -	ʎ i ɣ a	a t a ʃ e	a t a ʃ e	b e n d a r e	b e n d a r e	lˠ ɪ g aː r ɛ	lˠ ɪ g aː r ɛ	l i ɣ a r -	l i ɣ a r	l e g a - -	l e g a	a t a ɾ	a t a ɾ
TIE_UP_(TETHER)	- ʎ i ɣ - - a	ʎ i ɣ a	a t a ʃ e	a t a ʃ e	a tː a kː a r e	a tː a kː a r e	a lː ɪ g aː r ɛ	a lː ɪ g aː r ɛ	ɐ t a r	ɐ t a r	- l e g - - a	l e g a	a t a ɾ	a t a ɾ
TIME	t̪ - ə m p - s	t̪ ə m p s	t ɑ̃	t ɑ̃	t - e m p o -	t e m p o	t - ɛ m p ʊ s	t ɛ m p ʊ s	t - ẽ - p u -	t ẽ p u	v r e m e	v r e m e	t j e m p o -	t j e m p o
TINKLE	d̪ ɾ i n ɣ a	d̪ ɾ i n ɣ a	k l i k t e	k l i k t e	t i n t i nː a - r e	t i n t i nː a r e	k r ɛ p aː r ɛ	k r ɛ p aː r ɛ	t i - - - n i - r -	t i n i r	z ə n g ə nʲ	z ə n g ə nʲ	t i n t i n e a ɾ -	t i n t i n e a ɾ
TIP_(OF_OBJECT)	p u n̪ t̪ ə	p u n̪ t̪ ə	p w ɛ̃ t	p w ɛ̃ t	p u n t a	p u n t a	k a k uː m ɛ n	k a k uː m ɛ n	p õ - t ɐ	p õ t ɐ	k r e ʃ t e t	k r e ʃ t e t	p u n t a	p u n t a
TODAY	ə β u j	ə β u j	o ʒ u ʁ d ɥ i	o ʒ u ʁ d ɥ i	o d dʒ i	o d dʒ i	h ɔ d ɪ eː	h ɔ d ɪ eː	o ʒ ə	o ʒ ə	a s t ə zʲ	a s t ə zʲ	o i	o i
TOE	d̪ i t̪ - + d̪ ə lˠ + p - ɛ w -	d̪ i t̪ + d̪ ə lˠ + p ɛ w	d w a d ə p j e	d w a d ə p j e	d i t o + d e l + p i e d e	d i t o + d e l + p i e d e	d ɪ g ɪ t ʊ s	d ɪ g ɪ t ʊ s	d e ð u + d u - + p - ɛ - -	d e ð u + d u + p ɛ	d e dʒ e t + d e + l a + p i tʃ j o r	d e dʒ e t + d e + l a + p i tʃ j o r	d e ð o + ð e l + p j e - -	d e ð o + ð e l + p j e
TOGETHER	ʒ u n̪	ʒ u n̪	ɑ̃ s ɑ̃ː b l ə	ɑ̃ s ɑ̃ː b l ə	i n z i e m e	i n z i e m e	uː n aː	uː n aː	ʒ ũ - t u ʃ	ʒ ũ t u ʃ	ɨ m p r e w n ə	ɨ m p r e w n ə	x u n t o s	x u n t o s
TOMORROW	d̪ ə m a	d̪ ə m a	d ə m ɛ̃	d ə m ɛ̃	d o m a n i	d o m a n i	k r aː s	k r aː s	- ɐ m ɐ ɲ ɐ̃	ɐ m ɐ ɲ ɐ̃	m ɨ j n e	m ɨ j n e	m a ɲ a n a	m a ɲ a n a
TONE_(MUSIC)	t̪ ɔ - -	t̪ ɔ	t ɔ̃ - -	t ɔ̃	t o n o	t o n o	s ɔ n ʊ s	s ɔ n ʊ s	t õ - -	t õ	t o n -	t o n	t o n o	t o n o
TONGUE	ʎ ɛ n ɣ w ə	ʎ ɛ n ɣ w ə	l ɑ̃ː g	l ɑ̃ː g	l i ŋ g u a	l i ŋ g u a	lˠ ɪ ŋ gʷ - a	lˠ ɪ ŋ gʷ a	l ĩ - g w ɐ	l ĩ g w ɐ	l i m b ə	l i m b ə	l e ŋ g w a	l e ŋ g w a
TOOTH	d̪ - ɛ - n̪ -	d̪ ɛ n̪	d - ɑ̃ - - -	d ɑ̃	d - e n t e	d e n t e	d ẽː s	d ẽː s	d - ẽ - t ə	d ẽ t ə	d - i n t e	d i n t e	d j e n t e	d j e n t e
TOUCH	t̪ u - k - - a	t̪ u k a	t u - ʃ - - e	t u ʃ e	t o - kː a r e	t o kː a r e	t a ŋ g ɛ r ɛ	t a ŋ g ɛ r ɛ	t u - k a r -	t u k a r	a t i n dʒ e	a t i n dʒ e	t o - k a ɾ -	t o k a ɾ
TOWEL	t̪ u β ə ʎ ɔ lˠ ə	t̪ u β ə ʎ ɔ lˠ ə	e s ɥ i m ɛ̃	e s ɥ i m ɛ̃	a ʃː u g a m a n o	a ʃː u g a m a n o	m a n t eː lˠ ɛ	m a n t eː lˠ ɛ	t w a ʎ ɐ	t w a ʎ ɐ	ʃ t e r g a r	ʃ t e r g a r	t o a ʝ a	t o a ʝ a
TOWN	s i w t̪ a t̪ -	s i w t̪ a t̪	v i l	v i l	tʃ i tː a	tʃ i tː a	ɔ pː ɪ d ʊ̃	ɔ pː ɪ d ʊ̃	s i - ð a ð ə	s i ð a ð ə	o r a ʃ	o r a ʃ	θ j u ð a ð	θ j u ð a ð
TRANSLATE	t̪ ɾ ə ð u j - - -	t̪ ɾ ə ð u j	t ʁ a d - ɥ iː ʁ -	t ʁ a d ɥ iː ʁ	t r a d - - u rː e	t r a d u rː e	w ɛ r t ɛ r ɛ	w ɛ r t ɛ r ɛ	t r ɐ ð u z i r -	t r ɐ ð u z i r	t r a d u tʃ e - -	t r a d u tʃ e	t ɾ a ð u θ i ɾ -	t ɾ a ð u θ i ɾ
TRAP_(PITFALL)	t̪ ɾ a m p ə	t̪ ɾ a m p ə	p j ɛː ʒ	p j ɛː ʒ	t r a pː o l a	t r a pː o l a	p ɛ d ɪ k a	p ɛ d ɪ k a	a r m a ð i ʎ a	a r m a ð i ʎ a	k a p k a n ə	k a p k a n ə	t ɾ a m p a	t ɾ a m p a
TREE	a ɾ β - ɾ ə	a ɾ β ɾ ə	a ʁ b - ʁ ə	a ʁ b ʁ ə	a l b e r o	a l b e r o	a r b ɔ r -	a r b ɔ r	a r v u r ə	a r v u r ə	a r b o r e	a r b o r e	a ɾ β o l -	a ɾ β o l
TREE_TRUNK	t̪ ɾ ɔ - ŋ - -	t̪ ɾ ɔ ŋ	t ʁ ɔ̃ - - - -	t ʁ ɔ̃	t r o ŋ k o -	t r o ŋ k o	t r ʊ ŋ k ʊ s	t r ʊ ŋ k ʊ s	t r õ - k u -	t r õ k u	t u l p i n ə	t u l p i n ə	t ɾ o ŋ k o -	t ɾ o ŋ k o
TROUSERS	p ə n̪ t̪ ə lˠ ɔ n s	p ə n̪ t̪ ə lˠ ɔ n s	p ɑ̃ - t a l ɔ̃ - -	p ɑ̃ t a l ɔ̃	k a l ts o n i	k a l ts o n i	b r aː k a ɛ	b r aː k a ɛ	k a lˠ s - - ɐ	k a lˠ s ɐ	p a n t a l o nʲ -	p a n t a l o nʲ	p a n t a l o n -	p a n t a l o n
TRUE	β ə ɾ i t̪ a b lˠ ə	β ə ɾ i t̪ a b lˠ ə	v e ʁ i t a b l ə	v e ʁ i t a b l ə	v e r o -	v e r o	w eː r ʊ s	w eː r ʊ s	v ə r ð ɐ ð e j r u	v ə r ð ɐ ð e j r u	a d e v ə r a t	a d e v ə r a t	b e ɾ ð a ð e - ɾ o	b e ɾ ð a ð e ɾ o
TRUTH	β ə ɾ i t̪ a t̪ -	β ə ɾ i t̪ a t̪	v e ʁ i t e - -	v e ʁ i t e	v e r i t a - -	v e r i t a	w eː r ɪ t aː s -	w eː r ɪ t aː s	v ə r - ð a ð ə	v ə r ð a ð ə	a d e v ə r	a d e v ə r	b e ɾ - ð a ð -	b e ɾ ð a ð
TRY	i n̪ t̪ ə n̪ - t̪ a - -	i n̪ t̪ ə n̪ t̪ a	e s ɛ j e	e s ɛ j e	- - t e n - t a r e	t e n t a r e	- - t ɛ m p t aː r ɛ	t ɛ m p t aː r ɛ	- - t ẽ - - t a r -	t ẽ t a r	ɨ n tʃ e r k a	ɨ n tʃ e r k a	i n t e n - t a ɾ -	i n t e n t a ɾ
TUBE	t̪ u p - -	t̪ u p	t ɥ i j o	t ɥ i j o	t u b o -	t u b o	t ʊ b ʊ s	t ʊ b ʊ s	k a n u	k a n u	ts e a v ə	ts e a v ə	t u β o -	t u β o
TUESDAY	d̪ i m a ɾ ts	d̪ i m a ɾ ts	m a ʁ d i - -	m a ʁ d i	m a r t e d i	m a r t e d i	d ɪ eː s + m aː r t ɪ s +	d ɪ eː s + m aː r t ɪ s +	t e r s ɐ f e j r ɐ	t e r s ɐ f e j r ɐ	m a r tsʲ - - -	m a r tsʲ	m a ɾ t e s -	m a ɾ t e s
TUMBLE_(FALL_DOWN)	k ə w ɾ ə s	k ə w ɾ ə s	t ɔ̃ b e	t ɔ̃ b e	k a d e r - e	k a d e r e	k a d ɛ r - ɛ	k a d ɛ r ɛ	k ɐ i r	k ɐ i r	k ə d e a + ʒ o s	k ə d e a + ʒ o s	k a - e ɾ s e	k a e ɾ s e
TURN_(SOMETHING)	ʒ i ɾ a	ʒ i ɾ a	ʁ ə t u ʁ n e	ʁ ə t u ʁ n e	v o l t a r e	v o l t a r e	w ɛ r t ɛ r ɛ	w ɛ r t ɛ r ɛ	v ɔ lˠ t a r -	v ɔ lˠ t a r	ɨ n t o a r tʃ e	ɨ n t o a r tʃ e	b o l β e ɾ	b o l β e ɾ
TWELVE	d̪ ɔ dz ə	d̪ ɔ dz ə	d uː z -	d uː z	d o - d i tʃ i	d o d i tʃ i	d ʊ ɔ d ɛ k ɪ̃	d ʊ ɔ d ɛ k ɪ̃	d o z ə	d o z ə	d o w ə s p r e z e tʃ e	d o w ə s p r e z e tʃ e	d o θ e	d o θ e
TWENTY	β i n̪ -	β i n̪	v - - ɛ̃	v ɛ̃	v e - - n t i	v e n t i	w ɪ g ɪ n t iː	w ɪ g ɪ n t iː	v ĩ t ə	v ĩ t ə	d o w ə z e tʃʲ	d o w ə z e tʃʲ	b e - i n t e	b e i n t e
TWIG	r a m - - -	r a m	ʁ a m o - -	ʁ a m o	r a m o - -	r a m o	r aː m ʊ s -	r aː m ʊ s	ɣ a ʎ u	ɣ a ʎ u	k r e a n g ə	k r e a n g ə	ɾ a m o - -	ɾ a m o
TWINKLE	ə s p u ɾ n ə ʒ a	ə s p u ɾ n ə ʒ a	e t ɛ̃ s l e	e t ɛ̃ s l e	ʃ i n t i lː a r e	ʃ i n t i lː a r e	m ɪ k aː r ɛ	m ɪ k aː r ɛ	s ĩ - t i l a r -	s ĩ t i l a r	s k ɨ n t e j a	s k ɨ n t e j a	tʃ i s p e a ɾ	tʃ i s p e a ɾ
TWO	d̪ ɔ - s -	d̪ ɔ s	d ø - - -	d ø	d u - - e	d u e	d ʊ - - ɔ	d ʊ ɔ	d o j ʃ -	d o j ʃ	d o j - -	d o j	d o - s -	d o s
UNCLE	ɔ ŋ k lˠ ə	ɔ ŋ k lˠ ə	ɔ̃ː - k l ə	ɔ̃ː k l ə	ts i o	ts i o	a w ʊ ŋ k ʊ lˠ ʊ s	a w ʊ ŋ k ʊ lˠ ʊ s	t i w	t i w	u n kʲ	u n kʲ	t i o	t i o
UNDERSTAND	ə n̪ t̪ ɛ n - ð - ɾ ə	ə n̪ t̪ ɛ n ð ɾ ə	k ɔ̃ - p ʁ - ɑ̃ː - d - ʁ ə	k ɔ̃ p ʁ ɑ̃ː d ʁ ə	k o m p r - ɛ n d e r e	k o m p r ɛ n d e r e	ɪ n t ɛ lː ɛ g ɛ r ɛ	ɪ n t ɛ lː ɛ g ɛ r ɛ	k õ - p r j ẽ - d e r -	k õ p r j ẽ d e r	ɨ n ts e l e dʒ e	ɨ n ts e l e dʒ e	k o m p ɾ - e n d e ɾ -	k o m p ɾ e n d e ɾ
UNDRESS	t̪ ɾ ə w ɾ ə s	t̪ ɾ ə w ɾ ə s	ɑ̃ l ə v e	ɑ̃ l ə v e	t ɔ ʎː i e r z i	t ɔ ʎː i e r z i	ɛ k s ʊ ɛ r ɛ	ɛ k s ʊ ɛ r ɛ	d ə ʃ p i r	d ə ʃ p i r	ʃ i + s k o a t e	ʃ i + s k o a t e	k i t a ɾ s e	k i t a ɾ s e
UP	k ə p + ə m u n̪	k ə p + ə m u n̪	v ɛː ʁ l ə ʔ o	v ɛː ʁ l ə ʔ o	i n + a l t o	i n + a l t o	s uː r s ʊ̃	s uː r s ʊ̃	p a r a s i m a	p a r a s i m a	ɨ n + s u s	ɨ n + s u s	a θ j a + a r i β a	a θ j a + a r i β a
